X,factMultMin,factMultMax,step,minVal,maxVal
NETRAD,0,2,0.25,0,800
P,0,10,2,0,15
PA,0.95,1.03,0.01,95,100
PPFD_DIF,0,3,0.25,0,1200
PPFD_IN,0,2,0.25,0,1600
PPFD_OUT,0,2.5,0.25,0,100
RH,0.4,1.4,0.2,25,100
SW_IN,0,2,0.25,0,1000
SW_OUT,0,2,0.25,0,150
TA,0,2,0.25,0,35
TS,0.5,1.5,0.25,6,19
TS2,0.5,1.5,0.25,7,19
TS3,0.5,1.5,0.25,7,17
WD,0,2,0.25,0,360
WS,0,3,0.25,0,6
CO2,0.95,1.07,0.02,390,450
FC,0,10,1,-40,40
H,0,2,0.25,-250,350
H2O,0,3,0.25,4,25
LE,0,3,0.25,-10,400
SB,0,4,0.25,-15,30
SC,0,30,5,-30,30
SH,0,7,1,-60,60
SLE,0,10,1,-200,200
TAU,0,12,1,0,5
USTAR,0,3,0.25,0,1.5
ZL,0,10,1,-50,50
G,0,4,0.25,-15,25
VPD,0,4,0.25,0,4
